Name,Locality,State,Country,Latitude,Longitude,Room Type,Guest Count,Price,Ratings
Blu Grass 7 Bedroom Holiday Villa near Calangute,Saligao,Goa,India,15.55615,73.78145,Entire villa,14,687,0
6BHK PRIVATE POOL BEACH VILLA @ BAGA,Calangute,Goa,India,15.54714,73.7644,Entire villa,14,661,0
Exquisite 9 Bedroom Family Style Mansion with Pool,Calangute,Goa,India,15.535,73.768,Entire home,16,531,5.0
The Rain- 3BR Luxiries w/Breakfast and Kayaking,Alappuzha,Kerala,India,9.54289,76.35456,Private room in villa,9,515,0
The Foothills Villas -  A nature's home in Aravali,Achrol,Rajasthan,India,27.13538,75.96086,Farm stay,16,722,0
WOOD HEAVEN FARMS,Jaipur,Rajasthan,India,27.04744,75.74732,Farm stay,16,601,0
Farmhouse with pool for #photo shoot !!!,New Delhi,Delhi,India,28.43781,77.18884,Farm stay,16,601,0
Estella by Vista Grande,Panchgani,Maharashtra,India,17.93,73.804,Entire villa,16,595,0
10-12 person | Pool Villa | Bfast & dinner | BBQ,Udaipur,Rajasthan,India,24.5971,73.75547,Farm stay,11,495,0
"Beachgate Bungalows by CGH Earth, Fort Kochi Beach",Kochi,Kerala,India,9.95954,76.23788,Entire home,6,541,5.0
Elevate your next Adventure at Villa Calangute Goa,Calangute,Goa,India,15.535,73.766,Entire home,16,502,0
O'Pearl 9bhk Beach Touch Private villa with pool,Pawas,Maharashtra,India,16.87067,73.31219,Entire villa,16,601,0
Dazzling Hills-Pure Veg Villa by 29Bungalow,Panchgani,Maharashtra,India,17.91824,73.80685,Entire villa,15,550,0
5BHK Private Pool La Baga Villa at Baga,Baga,Goa,India,15.56546,73.7483,Entire villa,12,601,0
Private 10 Room Farmhouse - Rare Find Mahablshwar,Mahabaleshwar,Maharashtra,India,17.92354,73.66923,Entire villa,16,533,0
"Executive 4 Rooms, Bath, Cook, Parking,",Jaipur,Rajasthan,India,26.92538,75.72046,Entire villa,12,553,0
Bijay Niwas Palace  - A Heritage hotel,Bijainagar,Rajasthan,India,25.913,74.591,Room in heritage hotel,15,722,0
"Div Estate: Wedding Venue (Aamwala, Dehradun)",Aamwala,Uttarakhand,India,30.36688,77.9941,Farm stay,10,601,0
11BHK (5+6)LUXURY PRIVATE POOL VILLA near CANDOLIM,Nerul,Goa,India,15.50773,73.80062,Entire villa,16,601,0
VIDEO SHOOT PACKAGE,Gurugram,Haryana,India,28.35522,77.00456,Farm stay,16,601,0
Ninteen People Accomodation at Mararikulam Beach,Mararikulam,Kerala,India,9.59906,76.3014,Private room in bed and breakfast,16,541,0
Spice Routes Houseboats - Pepper,Alappuzha,Kerala,India,9.47909,76.38724,Houseboat,4,534,0
Spice Routes Houseboat- Saffron,Alappuzha,Kerala,India,9.46065,76.39451,Houseboat,2,541,0
9 Bedroom villa with swimming pool @ Baga River,Calangute,Goa,India,15.56914,73.75654,Entire villa,16,490,0
chomal huts,Chuchot Yakma,Ladakh,India,34.08691,77.5807,Private room in resort,10,541,0
GP Farm 8BH Villa,Nashik,Maharashtra,India,20.07478,73.64144,Private room in resort,16,505,0
Monforte Villa I by Lohono Stays,Sangolda,Goa,India,15.54225,73.81266,Entire home,8,655,0
Boohemiaa Greek Villa (With Private Pool),Penha de França,Goa,India,15.544,73.817,Entire villa,6,593,0
BeachO 8bhk by Unexplora,Kashid,Maharashtra,India,18.4396,72.90539,Entire bungalow,14,541,0
Princess Villa Manali,Gadherni,Himachal Pradesh,India,32.21399,77.18382,Room in boutique hotel,16,601,0
Mountain-view - 3BR W/Swimming Pool @Geometrica,Lonavla,Maharashtra,India,18.77809,73.38887,Entire villa,9,500,0
The Rustic Pines,Udaipur,Rajasthan,India,24.63226,73.63276,Entire chalet,16,577,0
Pasiiflora (Wada),Kumdal,Maharashtra,India,19.70887,73.00706,Farm stay,16,533,0
Stay in heritage house in the heart of city,New Delhi,Delhi,India,28.64295,77.17428,Entire home,15,601,0
Perfect Getaway - LUX 6br+pool,Candolim,Goa,India,15.529,73.801,Entire home,16,678,0
Luxurious Penthouse - 11th Floor -Pickup on demand,Varanasi,Uttar Pradesh,India,25.30992,82.96668,Entire condo,6,601,0
★ Farmhouse for your Socially-Distanced Parties ★,New Delhi,Delhi,India,28.49231,77.21424,Private room in farm stay,10,613,0
Family superior cottage - Morning glory,Kerala,Kerala,India,11.53047,76.15498,Private room in bed and breakfast,4,722,0
Villa Serene - Private pool villa,Dona Paula,Goa,India,15.4557,73.79935,Entire villa,10,601,0
StayVista at Amarillo Villa- Rustic 4BR W/Pool,Zirad,Maharashtra,India,18.75338,72.9123,Entire villa,11,528,4.67
Nine Furlongs - Kakarkot - The Forest Bungalow,Almora,Uttarakhand,India,29.70544,79.74828,Private room in nature lodge,4,532,0
9BHK Villa for Big Groups nr Baga & Calangute,North Goa,Goa,India,15.55671,73.78139,Entire home,16,549,0
The Wilderness Homestay and Farm,Waghodia,Gujarat,India,22.33,73.534,Farm stay,12,533,0
Kalhaar blues&greens Luxurious golf Villa(entire),Ahmedabad,Gujarat,India,23.01665,72.37177,Entire bungalow,6,541,0
Farm Villa @ Devra udaipur- 8 rooms n pool,Udaipur,Rajasthan,India,24.57298,73.64834,Entire villa,16,577,0
Farmhouse for corporate events and pool party !!!,New Delhi,Delhi,India,28.43926,77.18906,Farm stay,16,722,0
Dwaraka Inn -6BR with Luxurious Pool and Garden,Coimbatore,Tamil Nadu,India,11.03008,76.93579,Entire villa,16,503,0
12 B.room Boutique resort with pool in Gurgaon.,Raiseena,Haryana,India,28.31868,77.01859,Private room in resort,16,541,0
"Foresta by the lake, pool, turf, game room &gazebo",Kamshet,Maharashtra,India,18.74762,73.54216,Entire villa,16,565,0
Luxurious 5BHK Private Pool BEACH Villa @ BAGA,Baga,Goa,India,15.55641,73.75528,Entire villa,15,490,3.33
By The Sea Villa.... Sea view rooms with a pool..,Raigad,Maharashtra,India,18.4914,72.90293,Entire villa,16,661,0
Newly constructed Luxury Home: 8 Rooms: Bonfire,Jaipur,Rajasthan,India,26.905,75.777,Entire bungalow,16,698,0
A Luxurious Mountain Bungalow with stunning views,Mussoorie,Uttarakhand,India,30.44259,78.20533,Entire villa,8,499,0
Triangle,Chouk,Maharashtra,India,18.91733,73.27612,Entire villa,10,558,0
"7BR Goil Farms -Shahpur, 1.5hrs drive from Mumbai.",Shahpur,Maharashtra,India,19.46364,73.37774,Entire villa,16,707,0
